
SNAP_TIME       ,   SNAP_ID,INSTANCE_NUMBER,EVENT_NAME                                                      ,RATE_TIMEWAITED
2016_02_13 22:00,     47553,              2,direct path read                                                ,      203911.41
2016_02_13 22:00,     47553,              2,log file sync                                                   ,      316028.91
2016_02_13 22:00,     47553,              1,db file sequential read                                         ,       20304.58
2016_02_13 22:00,     47553,              1,log file sync                                                   ,       61421.23
2016_02_13 22:00,     47553,              3,enq: TX - row lock contention                                   ,       29907.66
2016_02_13 22:30,     47554,              4,log file parallel write                                         ,       57732.41
2016_02_13 22:30,     47554,              4,log file sync                                                   ,      103904.88
2016_02_13 22:30,     47554,              4,SQL*Net more data from dblink                                   ,              0
2016_02_13 22:30,     47554,              3,db file sequential read                                         ,       584286.2
2016_02_13 22:30,     47554,              3,log file sync                                                   ,      338990.26
2016_02_13 22:30,     47554,              1,db file scattered read                                          ,            1.3
2016_02_13 22:30,     47554,              2,log file parallel write                                         ,      137782.36
2016_02_13 22:30,     47554,              2,direct path read                                                ,       65359.09
2016_02_13 22:30,     47554,              2,log file sync                                                   ,       314219.1
2016_02_13 22:30,     47554,              1,db file sequential read                                         ,      113157.26
2016_02_13 22:30,     47554,              1,log file sync                                                   ,       43493.81
2016_02_13 22:30,     47554,              3,enq: TX - row lock contention                                   ,       15528.91
2016_02_13 23:00,     47555,              4,log file parallel write                                         ,       90343.18
2016_02_13 23:00,     47555,              4,log file sync                                                   ,      105843.97
2016_02_13 23:00,     47555,              4,SQL*Net more data from dblink                                   ,              0
2016_02_13 23:00,     47555,              3,db file sequential read                                         ,      946804.66
2016_02_13 23:00,     47555,              3,log file sync                                                   ,      441029.93
2016_02_13 23:00,     47555,              1,db file scattered read                                          ,         1476.5
2016_02_13 23:00,     47555,              2,log file parallel write                                         ,      172324.48
2016_02_13 23:00,     47555,              2,direct path read                                                ,       71651.44
2016_02_13 23:00,     47555,              2,log file sync                                                   ,      422449.76
2016_02_13 23:00,     47555,              1,db file sequential read                                         ,       20694.57
2016_02_13 23:00,     47555,              1,log file sync                                                   ,       76844.24
2016_02_13 23:00,     47555,              3,enq: TX - row lock contention                                   ,       47072.92
2016_02_13 23:30,     47556,              4,log file parallel write                                         ,       42940.55
2016_02_13 23:30,     47556,              4,log file sync                                                   ,       40992.92
2016_02_13 23:30,     47556,              4,SQL*Net more data from dblink                                   ,              0
2016_02_13 23:30,     47556,              3,db file sequential read                                         ,     1430426.79
2016_02_13 23:30,     47556,              3,log file sync                                                   ,      349626.63
2016_02_13 23:30,     47556,              1,db file scattered read                                          ,          81.84
2016_02_13 23:30,     47556,              2,log file parallel write                                         ,      147665.56
2016_02_13 23:30,     47556,              2,direct path read                                                ,      169745.31
2016_02_13 23:30,     47556,              2,log file sync                                                   ,      470323.59
2016_02_13 23:30,     47556,              1,db file sequential read                                         ,       12376.59
2016_02_13 23:30,     47556,              1,log file sync                                                   ,       38346.19
2016_02_13 23:30,     47556,              3,enq: TX - row lock contention                                   ,       44870.16
2016_02_14 00:00,     47557,              4,log file parallel write                                         ,       61018.71
2016_02_14 00:00,     47557,              4,log file sync                                                   ,       79136.06
2016_02_14 00:00,     47557,              4,SQL*Net more data from dblink                                   ,              0
2016_02_14 00:00,     47557,              3,db file sequential read                                         ,     2839866.75
2016_02_14 00:00,     47557,              3,log file sync                                                   ,      399545.51
2016_02_14 00:00,     47557,              1,db file scattered read                                          ,            3.6
2016_02_14 00:00,     47557,              2,log file parallel write                                         ,       172685.3
2016_02_14 00:00,     47557,              2,direct path read                                                ,      224628.38
2016_02_14 00:00,     47557,              2,log file sync                                                   ,      391139.67
2016_02_14 00:00,     47557,              1,db file sequential read                                         ,        9037.64
2016_02_14 00:00,     47557,              1,log file sync                                                   ,       62649.67
2016_02_14 00:00,     47557,              3,enq: TX - row lock contention                                   ,      850223.21
2016_02_14 00:30,     47558,              4,log file parallel write                                         ,       55281.25
2016_02_14 00:30,     47558,              4,log file sync                                                   ,       75456.18
2016_02_14 00:30,     47558,              4,SQL*Net more data from dblink                                   ,              0
2016_02_14 00:30,     47558,              3,db file sequential read                                         ,     2359543.25
2016_02_14 00:30,     47558,              3,log file sync                                                   ,      406580.64
2016_02_14 00:30,     47558,              1,db file scattered read                                          ,           5.83
2016_02_14 00:30,     47558,              2,log file parallel write                                         ,      165616.29
2016_02_14 00:30,     47558,              2,direct path read                                                ,      210072.81
2016_02_14 00:30,     47558,              2,log file sync                                                   ,      444351.67
2016_02_14 00:30,     47558,              1,db file sequential read                                         ,       12186.45
2016_02_14 00:30,     47558,              1,log file sync                                                   ,       51449.17
2016_02_14 00:30,     47558,              3,enq: TX - row lock contention                                   ,       883037.5
2016_02_14 01:00,     47559,              4,log file parallel write                                         ,       97389.89
2016_02_14 01:00,     47559,              4,log file sync                                                   ,      100727.98
2016_02_14 01:00,     47559,              4,SQL*Net more data from dblink                                   ,      296531.12
2016_02_14 01:00,     47559,              3,db file sequential read                                         ,     2357767.53
2016_02_14 01:00,     47559,              3,log file sync                                                   ,     1093192.18
2016_02_14 01:00,     47559,              1,db file scattered read                                          ,      153171.14
2016_02_14 01:00,     47559,              2,log file parallel write                                         ,      255081.51
2016_02_14 01:00,     47559,              2,direct path read                                                ,       221694.5
2016_02_14 01:00,     47559,              2,log file sync                                                   ,      1109283.8
2016_02_14 01:00,     47559,              1,db file sequential read                                         ,       174587.5
2016_02_14 01:00,     47559,              1,log file sync                                                   ,      115377.27
2016_02_14 01:00,     47559,              3,enq: TX - row lock contention                                   ,     1535222.48
2016_02_14 01:30,     47560,              4,log file parallel write                                         ,       77249.56
2016_02_14 01:30,     47560,              4,log file sync                                                   ,      148961.69
2016_02_14 01:30,     47560,              4,SQL*Net more data from dblink                                   ,              0
2016_02_14 01:30,     47560,              3,db file sequential read                                         ,     1770503.56
2016_02_14 01:30,     47560,              3,log file sync                                                   ,      548601.92
2016_02_14 01:30,     47560,              1,db file scattered read                                          ,      409178.65
2016_02_14 01:30,     47560,              2,log file parallel write                                         ,      176080.86
2016_02_14 01:30,     47560,              2,direct path read                                                ,      236268.87
2016_02_14 01:30,     47560,              2,log file sync                                                   ,      476050.58
2016_02_14 01:30,     47560,              1,db file sequential read                                         ,      134278.46
2016_02_14 01:30,     47560,              1,log file sync                                                   ,       58086.26
2016_02_14 01:30,     47560,              3,enq: TX - row lock contention                                   ,      2005199.5
2016_02_14 02:00,     47561,              4,log file parallel write                                         ,       61064.61
2016_02_14 02:00,     47561,              4,log file sync                                                   ,      129095.82
2016_02_14 02:00,     47561,              4,SQL*Net more data from dblink                                   ,        3803.76
2016_02_14 02:00,     47561,              3,db file sequential read                                         ,     2060368.52
2016_02_14 02:00,     47561,              3,log file sync                                                   ,      513484.24
2016_02_14 02:00,     47561,              1,db file scattered read                                          ,      388467.49
2016_02_14 02:00,     47561,              2,log file parallel write                                         ,      180871.57
2016_02_14 02:00,     47561,              2,direct path read                                                ,      261260.84
2016_02_14 02:00,     47561,              2,log file sync                                                   ,      589685.65
2016_02_14 02:00,     47561,              1,db file sequential read                                         ,       253272.6
2016_02_14 02:00,     47561,              1,log file sync                                                   ,       69763.34
2016_02_14 02:00,     47561,              3,enq: TX - row lock contention                                   ,     2540233.91
2016_02_14 02:30,     47562,              4,log file parallel write                                         ,       63477.13
2016_02_14 02:30,     47562,              4,log file sync                                                   ,       132871.1
2016_02_14 02:30,     47562,              4,SQL*Net more data from dblink                                   ,              0
2016_02_14 02:30,     47562,              3,db file sequential read                                         ,     1649649.29
2016_02_14 02:30,     47562,              3,log file sync                                                   ,      463255.54
2016_02_14 02:30,     47562,              3,enq: TX - row lock contention                                   ,     4720971.79
2016_02_14 02:30,     47562,              2,log file parallel write                                         ,      162754.85
2016_02_14 02:30,     47562,              2,direct path read                                                ,        76365.5
2016_02_14 02:30,     47562,              2,log file sync                                                   ,      437042.66
2016_02_14 02:30,     47562,              1,db file sequential read                                         ,       79400.53
